iter	Passed	Remaining
0	4	4046
1	7	3785
2	11	3974
3	16	4187
4	20	4051
5	24	4083
6	29	4185
7	33	4213
8	37	4137
9	41	4157
10	46	4167
11	49	4087
12	53	4078
13	57	4073
14	61	4042
15	64	3990
16	68	3974
17	74	4060
18	81	4228
19	84	4162
20	88	4125
21	91	4072
22	95	4049
23	98	3996
24	101	3955
25	104	3923
26	108	3894
27	111	3884
28	115	3869
29	118	3838
30	122	3830
31	125	3806
32	129	3789
33	132	3766
34	136	3751
35	139	3723
36	142	3711
37	146	3711
38	151	3722
39	154	3706
40	159	3720
41	162	3701
42	166	3698
43	169	3682
44	173	3682
45	175	3636
46	178	3621
47	182	3614
48	185	3608
49	188	3579
50	192	3576
51	195	3565
52	199	3564
53	203	3561
54	206	3554
55	210	3544
56	214	3550
57	218	3547
58	222	3547
59	225	3534
60	229	3538
61	233	3528
62	237	3533
63	240	3521
64	244	3512
65	247	3499
66	251	3501
67	254	3487
68	257	3478
69	260	3463
70	263	3452
71	267	3441
72	271	3447
73	274	3435
74	277	3428
75	281	3417
76	284	3412
77	288	3406
78	292	3407
79	295	3396
80	298	3389
81	301	3379
82	305	3369
83	308	3360
84	312	3364
85	315	3355
86	319	3351
87	322	3343
88	326	3339
89	329	3332
90	333	3331
91	336	3322
92	340	3317
93	344	3315
94	347	3313
95	351	3305
96	354	3303
97	357	3294
98	361	3289
99	364	3282
100	368	3282
101	372	3276
102	376	3275
103	379	3269
104	383	3265
105	386	3262
106	390	3262
107	394	3260
108	398	3261
109	403	3262
110	407	3263
111	410	3258
112	414	3256
113	417	3247
114	421	3243
115	424	3236
116	428	3232
117	431	3223
118	434	3220
119	438	3213
120	441	3206
121	444	3200
122	448	3195
123	451	3188
124	454	3184
125	458	3177
126	461	3175
127	465	3167
128	468	3166
129	472	3160
130	475	3155
131	478	3146
132	481	3140
133	484	3133
134	488	3128
135	491	3120
136	494	3114
137	497	3107
138	500	3103
139	504	3096
140	507	3093
141	511	3093
142	515	3090
143	519	3088
144	523	3087
145	526	3081
146	530	3077
147	534	3075
148	538	3074
149	541	3070
150	545	3066
151	548	3061
152	552	3058
153	555	3051
154	559	3047
155	562	3041
156	565	3037
157	568	3030
158	571	3025
159	575	3020
160	580	3022
161	583	3019
162	587	3015
163	590	3009
164	594	3007
165	597	3001
166	600	2997
167	603	2990
168	607	2986
169	610	2982
170	614	2979
171	618	2977
172	622	2976
173	626	2974
174	630	2973
175	634	2968
176	637	2964
177	640	2958
178	643	2952
179	647	2947
180	651	2946
181	654	2941
182	658	2938
183	661	2932
184	664	2928
185	669	2931
186	673	2928
187	676	2922
188	681	2922
189	684	2919
190	689	2919
191	694	2922
192	698	2919
193	702	2916
194	705	2913
195	709	2910
196	713	2908
197	716	2903
198	719	2897
199	722	2891
200	725	2884
201	730	2884
202	734	2883
203	737	2877
204	740	2871
205	743	2864
206	746	2860
207	749	2853
208	752	2847
209	755	2843
210	758	2837
211	762	2833
212	765	2828
213	768	2822
214	771	2816
215	774	2810
216	777	2804
217	780	2798
218	783	2794
219	786	2788
220	790	2784
221	792	2777
222	795	2772
223	798	2765
224	801	2761
225	804	2756
226	809	2755
227	812	2750
228	815	2746
229	819	2742
230	822	2737
231	825	2732
232	828	2726
233	831	2720
234	833	2714
235	836	2709
236	839	2702
237	842	2697
238	845	2691
239	848	2688
240	852	2683
241	855	2678
242	857	2672
243	861	2667
244	863	2662
245	867	2657
246	870	2652
247	873	2648
248	876	2645
249	879	2639
250	882	2634
251	886	2631
252	889	2625
253	892	2620
254	895	2615
255	898	2611
256	901	2606
257	904	2600
258	907	2594
259	910	2590
260	913	2585
261	915	2579
262	919	2576
263	922	2570
264	925	2566
265	928	2561
266	931	2557
267	934	2552
268	937	2547
269	940	2541
270	944	2539
271	946	2534
272	949	2529
273	953	2525
274	956	2520
275	959	2516
276	962	2513
277	965	2508
278	968	2503
279	971	2499
280	975	2495
281	977	2490
282	980	2485
283	984	2481
284	987	2477
285	990	2472
286	993	2468
287	996	2463
288	999	2458
289	1002	2453
290	1006	2452
291	1009	2447
292	1013	2445
293	1017	2442
294	1020	2438
295	1023	2434
296	1027	2431
297	1030	2427
298	1034	2425
299	1037	2420
300	1041	2417
301	1044	2413
302	1047	2410
303	1050	2405
304	1054	2402
305	1058	2399
306	1061	2396
307	1064	2392
308	1068	2389
309	1072	2387
310	1076	2384
311	1079	2379
312	1082	2376
313	1085	2371
314	1089	2368
315	1092	2364
316	1096	2362
317	1099	2357
318	1102	2354
319	1105	2349
320	1108	2345
321	1112	2342
322	1116	2340
323	1119	2335
324	1122	2332
325	1126	2328
326	1129	2324
327	1132	2320
328	1135	2316
329	1138	2312
330	1142	2308
331	1145	2304
332	1148	2300
333	1151	2295
334	1154	2291
335	1158	2288
336	1161	2285
337	1164	2280
338	1168	2278
339	1171	2273
340	1174	2270
341	1177	2265
342	1181	2262
343	1183	2257
344	1187	2254
345	1190	2249
346	1193	2245
347	1196	2241
348	1200	2238
349	1203	2234
350	1207	2232
351	1210	2228
352	1213	2224
353	1216	2220
354	1219	2216
355	1223	2213
356	1227	2211
357	1230	2206
358	1234	2204
359	1237	2200
360	1241	2197
361	1244	2193
362	1248	2190
363	1251	2186
364	1254	2183
365	1257	2178
366	1261	2175
367	1264	2170
368	1267	2167
369	1270	2164
370	1274	2161
371	1277	2157
372	1281	2153
373	1284	2149
374	1288	2147
375	1291	2143
376	1295	2140
377	1297	2135
378	1301	2133
379	1304	2128
380	1308	2126
381	1311	2122
382	1315	2118
383	1318	2114
384	1321	2111
385	1325	2108
386	1328	2104
387	1331	2100
388	1335	2096
389	1338	2093
390	1341	2089
391	1344	2085
392	1347	2080
393	1350	2077
394	1353	2073
395	1356	2068
396	1359	2064
397	1362	2060
398	1365	2056
399	1368	2053
400	1371	2048
401	1374	2044
402	1377	2040
403	1380	2036
404	1383	2032
405	1386	2028
406	1389	2024
407	1392	2021
408	1395	2016
409	1399	2013
410	1402	2009
411	1406	2007
412	1409	2002
413	1412	1999
414	1416	1996
415	1419	1992
416	1422	1988
417	1426	1985
418	1429	1982
419	1432	1978
420	1435	1974
421	1439	1971
422	1442	1967
423	1445	1963
424	1448	1959
425	1451	1955
426	1454	1951
427	1457	1948
428	1461	1945
429	1465	1942
430	1468	1938
431	1472	1935
432	1475	1931
433	1478	1928
434	1481	1924
435	1484	1920
436	1488	1918
437	1492	1914
438	1495	1910
439	1498	1907
440	1501	1903
441	1504	1899
442	1507	1895
443	1511	1892
444	1514	1888
445	1517	1884
446	1520	1880
447	1523	1877
448	1527	1874
449	1531	1871
450	1533	1866
451	1537	1863
452	1540	1859
453	1543	1855
454	1546	1851
455	1549	1848
456	1552	1844
457	1555	1840
458	1558	1837
459	1561	1833
460	1565	1830
461	1568	1826
462	1571	1822
463	1574	1818
464	1576	1814
465	1579	1810
466	1583	1807
467	1586	1803
468	1589	1799
469	1592	1795
470	1595	1791
471	1598	1788
472	1602	1785
473	1605	1781
474	1608	1777
475	1611	1773
476	1614	1769
477	1617	1765
478	1619	1761
479	1622	1758
480	1626	1754
481	1629	1751
482	1632	1747
483	1635	1744
484	1638	1740
485	1641	1736
486	1644	1732
487	1648	1729
488	1650	1725
489	1654	1721
490	1657	1718
491	1661	1715
492	1664	1711
493	1667	1708
494	1670	1704
495	1673	1700
496	1676	1696
497	1679	1692
498	1682	1688
499	1684	1684
500	1688	1681
501	1691	1677
502	1693	1673
503	1696	1669
504	1699	1665
505	1702	1661
506	1705	1657
507	1707	1654
508	1711	1650
509	1714	1646
510	1718	1644
511	1721	1640
512	1724	1636
513	1727	1633
514	1730	1630
515	1734	1626
516	1737	1623
517	1740	1619
518	1744	1616
519	1747	1612
520	1749	1608
521	1753	1605
522	1756	1601
523	1759	1598
524	1763	1595
525	1766	1591
526	1769	1588
527	1772	1584
528	1775	1580
529	1779	1577
530	1783	1574
531	1786	1571
532	1789	1567
533	1792	1564
534	1796	1561
535	1799	1557
536	1803	1555
537	1806	1551
538	1809	1548
539	1812	1544
540	1816	1540
541	1819	1537
542	1822	1533
543	1825	1530
544	1828	1526
545	1831	1522
546	1834	1519
547	1838	1516
548	1841	1512
549	1844	1509
550	1847	1505
551	1850	1501
552	1854	1498
553	1856	1494
554	1859	1491
555	1862	1487
556	1865	1484
557	1868	1480
558	1871	1476
559	1874	1472
560	1877	1469
561	1880	1465
562	1883	1461
563	1886	1458
564	1889	1454
565	1891	1450
566	1894	1446
567	1897	1443
568	1900	1439
569	1903	1436
570	1906	1432
571	1909	1428
572	1912	1425
573	1915	1421
574	1917	1417
575	1921	1414
576	1924	1410
577	1927	1407
578	1930	1403
579	1933	1399
580	1936	1396
581	1939	1392
582	1942	1389
583	1945	1385
584	1948	1381
585	1951	1378
586	1954	1375
587	1957	1371
588	1960	1368
589	1963	1364
590	1966	1360
591	1969	1357
592	1972	1353
593	1975	1350
594	1978	1346
595	1981	1343
596	1984	1339
597	1987	1336
598	1990	1332
599	1994	1329
600	1996	1325
601	1999	1322
602	2003	1318
603	2006	1315
604	2009	1312
605	2012	1308
606	2015	1305
607	2019	1301
608	2022	1298
609	2025	1294
610	2028	1291
611	2031	1287
612	2034	1284
613	2036	1280
614	2039	1276
615	2042	1273
616	2046	1270
617	2049	1266
618	2052	1263
619	2055	1260
620	2059	1256
621	2062	1253
622	2065	1249
623	2068	1246
624	2071	1242
625	2074	1239
626	2077	1235
627	2079	1232
628	2082	1228
629	2086	1225
630	2090	1222
631	2093	1218
632	2096	1215
633	2100	1212
634	2102	1208
635	2105	1205
636	2108	1201
637	2111	1198
638	2114	1194
639	2117	1190
640	2120	1187
641	2123	1184
642	2126	1180
643	2129	1177
644	2132	1173
645	2136	1170
646	2139	1167
647	2142	1163
648	2145	1160
649	2148	1156
650	2151	1153
651	2154	1149
652	2158	1146
653	2161	1143
654	2164	1140
655	2167	1136
656	2170	1133
657	2173	1129
658	2176	1126
659	2179	1122
660	2182	1119
661	2185	1115
662	2188	1112
663	2190	1108
664	2193	1105
665	2196	1101
666	2199	1098
667	2202	1094
668	2204	1090
669	2207	1087
670	2210	1083
671	2213	1080
672	2216	1076
673	2219	1073
674	2222	1070
675	2225	1066
676	2228	1063
677	2231	1059
678	2234	1056
679	2238	1053
680	2242	1050
681	2246	1047
682	2248	1043
683	2251	1040
684	2254	1036
685	2257	1033
686	2260	1030
687	2263	1026
688	2266	1023
689	2270	1020
690	2273	1016
691	2276	1013
692	2279	1009
693	2283	1006
694	2287	1003
695	2290	1000
696	2293	997
697	2297	993
698	2300	990
699	2304	987
700	2307	984
701	2310	980
702	2313	977
703	2317	974
704	2320	971
705	2324	968
706	2327	964
707	2331	961
708	2334	958
709	2337	954
710	2340	951
711	2343	948
712	2347	944
713	2350	941
714	2354	938
715	2357	935
716	2360	931
717	2364	928
718	2367	925
719	2370	922
720	2374	918
721	2378	915
722	2381	912
723	2385	909
724	2388	906
725	2391	902
726	2394	899
727	2398	896
728	2400	892
729	2404	889
730	2406	885
731	2409	882
732	2412	878
733	2415	875
734	2419	872
735	2422	868
736	2424	865
737	2428	861
738	2430	858
739	2433	855
740	2436	851
741	2439	848
742	2442	844
743	2445	841
744	2448	838
745	2451	834
746	2456	832
747	2459	828
748	2462	825
749	2467	822
750	2470	819
751	2473	815
752	2476	812
753	2478	808
754	2481	805
755	2484	802
756	2487	798
757	2490	795
758	2493	791
759	2496	788
760	2499	785
761	2502	781
762	2506	778
763	2509	775
764	2513	772
765	2516	768
766	2520	765
767	2523	762
768	2526	758
769	2529	755
770	2532	752
771	2535	748
772	2538	745
773	2541	742
774	2544	738
775	2547	735
776	2550	731
777	2553	728
778	2556	725
779	2559	721
780	2562	718
781	2565	715
782	2568	711
783	2571	708
784	2574	705
785	2577	701
786	2580	698
787	2583	695
788	2586	691
789	2589	688
790	2593	685
791	2596	681
792	2599	678
793	2602	675
794	2605	671
795	2608	668
796	2612	665
797	2615	661
798	2618	658
799	2621	655
800	2624	651
801	2627	648
802	2630	645
803	2632	641
804	2636	638
805	2639	635
806	2642	632
807	2645	628
808	2649	625
809	2652	622
810	2655	618
811	2658	615
812	2662	612
813	2665	608
814	2668	605
815	2671	602
